jurisdiccion,entidad,programa,actividad,credito_original,aumento,marcar_hijos_con_posible_reasignacion
Poder Legislativo Nacional,Poder Legislativo Nacional,Formación y Sanción de Leyes Nacionales,Formación y Sanción de Leyes Nacionales,9076560815,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Formación y Sanción de Leyes Nacionales,Ampliación Cocheras y Oficinas - Dirección de Automotores,80000000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Formación y Sanción Legislativa,Formación y Sanción Legislativa,9264569042,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Formación y Sanción Legislativa,Círculo de Legisladores de la Nación,1250000,25000000,No
Poder Legislativo Nacional,Poder Legislativo Nacional,Formación y Sanción Legislativa,Puesta en Valor Fachada del Honorable Congreso de la Nación - Etapa II,88964732,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Asistencia Bibliográfica,Asistencia Bibliográfica,1900364356,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Impresiones y Publicaciones Parlamentarias,Impresiones y Publicaciones Parlamentarias,523110174,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Asistencia Social Integral al Personal del Congreso de la Nación,Asistencia Social Integral al Personal del Congreso de la Nación,1222305466,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Defensa de los Derechos de los Ciudadanos,Defensa de los Derechos de los Ciudadanos,636881000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Revisión de Cuentas Nacionales,Revisión de Cuentas Nacionales,15452000,3600000,No
Poder Legislativo Nacional,Poder Legislativo Nacional,Revisión de Cuentas Nacionales,Revisión de Cuentas Nacionales,11087142,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,31940000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Protección de los Derechos del Interno Penitenciario,Protección de los Derechos del Interno Penitenciario,429986000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Monitoreo e Implementación del Nuevo Código Procesal Penal de la Nación,Monitoreo e Implementación del Nuevo Código Procesal Penal de la Nación,33750000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Fortalecimiento Institucional,Fortalecimiento Institucional del Senado de la Nación,5817950,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Control Parlamentario de Seguimiento de Trámite Legislativo,Control Parlamentario de Seguimiento de Trámite Legislativo,9045000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Control Parlamentario de los Fondos de la Seguridad Social,Control Parlamentario de los Fondos de la Seguridad Social,22330000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Promoción y Seguimiento de la Comunicación Audiovisual,Promoción y Seguimiento de la Comunicación Audiovisual,10800000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Defensa del Público de Servicios de Comunicación Audiovisual,Defensa del Público de Servicios de Comunicación Audiovisual,170179416,,
Poder Legislativo Nacional,Poder Legislativo Nacional,"Seguimiento y Control del Ministerio Público de la Nación (Ley N° 24.946,27.148 y 27.149)","Seguimiento y Control del Ministerio Público de la Nación (Ley N° 24.946,27.148 y 27.149)",7273165,,
Poder Legislativo Nacional,Poder Legislativo Nacional,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes","Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",2771786,4000000,No
Poder Legislativo Nacional,Poder Legislativo Nacional,Apoyo al Congreso Nacional en Materia Fiscal,Apoyo al Congreso Nacional en Materia Fiscal,53214214,6320000,No
Poder Legislativo Nacional,Poder Legislativo Nacional,"Sistema Nacional de Prevención de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes","Sistema Nacional de Prevención de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",57898862,23000000,No
Poder Legislativo Nacional,Poder Legislativo Nacional,"Defensa de los Derechos de las Niñas, Niños y Adolescentes","Defensa de los Derechos de las Niñas, Niños y Adolescentes",22174283,28000000,No
Poder Legislativo Nacional,Poder Legislativo Nacional,Seguimiento de Contratos de Participación Público-Privada,Seguimiento de Contratos de Participación Público-Privada,6097928,5900000,No
Poder Legislativo Nacional,Poder Legislativo Nacional,Seguimiento y Control de la Gestión de Contratación y Pago de la Deuda Exterior de la Nación,Seguimiento y Control de la Gestión de Contratación y Pago de la Deuda Exterior de la Nación,9000000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,"Investigación sobre la Búsqueda, Rescate y Desaparición del Submarino ARA San Juan","Investigación sobre la Búsqueda, Rescate y Desaparición del Submarino ARA San Juan",5600000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,Administración del Edificio del Molino,Administración del Edificio del Molino,19402498,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Control Externo de Gestión del Sector Público No Financiero,239343318,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Control Externo Entes Reguladores y Empresas Prestadoras de Servicios Públicos,248595319,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Control Externo del Sector Financiero y Recursos,213729957,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Control Externo de la Deuda Pública,241154687,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Apoyo Administrativo Logístico,394757294,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Dirección Superior,170889292,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Control Externo de la Cuenta de Inversión,261438262,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Planificación y Asistencia Legal y Técnica,324996205,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Control de Transferencias de Fondos Nacionales,218481823,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,Control Externo Financiero del Sector Público No Financiero,219653455,,
Poder Legislativo Nacional,Auditoría General de la Nación,Control Externo del Sector Público Nacional,"Acciones de Capacitación, Formación y Entrenamiento Técnico-Profesional",3057939,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Actividades Centrales,Gestión Financiera,13738697415,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Actividades Centrales,Servicio de Apoyo Tecnológico y Estadístico,670061744,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Actividades Centrales,Servicio de Infraestructura Judicial,93618950,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Actividades Centrales,Gestión del Consejo de la Magistratura,605107960,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Actividades Centrales,Jurado de Enjuiciamiento,29380009,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Actividades Centrales,Administración de Recursos Humanos,68776414,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Mandamientos y Notificaciones,Mandamientos y Notificaciones,1272069115,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Mandamientos y Notificaciones,Ampliación y Remodelación de Sede Judicial,6195,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Pericias Judiciales,Pericias Judiciales,957155182,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Pericias Judiciales,Construcción Instituto Técnico Judicial - Dra. Cecilia Grierson y obras complementarias de conductos cloacales,466403,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Pericias Judiciales,Ampliación del Laboratorio Fotográfico de la Morgue Judicial - Junin 760,1555447,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Pericias Judiciales,Adecuación de Espacios de Detenidos en Tránsito,6195,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Pericias Judiciales,Readecuación Parcial Lavalle N°1429 - Reemplazo Placas de Mármol e Insonorización Cámara Gesell,395871,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Pericias Judiciales,Rehabilitación y Puesta en Marcha del Extractor de Aire Central del Edificio Junin 760 - CABA,6195,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Pericias Judiciales,Adecuación y Mantenimiento de la Instalación Termomecánica Edificio Bartolomé Mitre 718,355874,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Biblioteca y Jurisprudencia,Biblioteca y Jurisprudencia,178892167,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Archivo General,Archivo General,378295590,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Administración General de la Corte Suprema de Justicia de la Nación,Administración General de la Corte Suprema de Justicia de la Nación,1224486432,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Justicia de Máxima Instancia,Justicia de Máxima Instancia,956843751,,
Poder Judicial de la Nación,Poder Judicial de la Nación,Justicia de Máxima Instancia,Refacciones en el Palacio de Justicia de la Nación,1493104,,
