jurisdiccion,entidad,programa,actividad,credito_original,aumento,marcar_hijos_con_posible_reasignacion
Ministerio de Ambiente y Desarrollo Sustentable,Ministerio de Ambiente y Desarrollo Sustentable,"Política Ambiental, Cambio Climático y Desarrollo Sustentable",Bosques Nativos y Comunidad-BIRF N°8493 AR,62087000,25935000,si
Ministerio de Ambiente y Desarrollo Sustentable,Ministerio de Ambiente y Desarrollo Sustentable,"Política Ambiental, Cambio Climático y Desarrollo Sustentable",Fondo Nacional para el Enriquecimiento y la Conservación de los Bosques Nativos,470500000,556500000,si
"Ministerio del Interior, Obras Públicas y Vivienda","Ministerio del Interior, Obras Públicas y Vivienda",Relaciones con las Provincias y Desarrollo Regional,"Acciones para el Desarrollo de Infraestructura ""Fideicomiso Austral""",250000000,600000000,si
Presidencia de la Nación,Secretaría de Programación para la Prevención de la Drogadicción y la Lucha contra el Narcotráfico,"Diseño, Monitoreo y Abordaje Territorial",Fortalecimiento de Dispositivos Integrales de Abordaje Territorial (DIAT),191734385,100000000,si
Ministerio de Energía y Minería,Comisión Nacional de Energía Atómica,,,0,1400000000,si
Ministerio de Turismo,,,,0,37000000,si
Jefatura de Gabinete de Ministros,Agencia de Acceso a la Información Pública,Acceso a la Informacion Publica y Proteccion de Datos Personales,Acceso a la Informacion Publica y Proteccion de Datos Personales,0,43368000,si
Ministerio de Agroindustria,Servicio Nacional de Sanidad y Calidad Agroalimentaria,Acciones para Contribuir a Asegurar la Inocuidad y Calidad Agroalimentaria,,0,90000000,si
Ministerio de Educación,Fundación Miguel Lillo,"Investigación de la Flora, Fauna y Gea",,0,10000000,si
"Ministerio del Interior, Obras Públicas y Vivienda",Ente Nacional de Obras Hídricas de Saneamiento,Asistencia Técnico - Financiera y Desarrollo de Infraestructura para el Saneamiento,,0,981942424,si
"Ministerio del Interior, Obras Públicas y Vivienda","Ministerio del Interior, Obras Públicas y Vivienda",Acciones de Vivienda y Desarrollo Urbano,,0,2000430000,si
"Ministerio del Interior, Obras Públicas y Vivienda","Ministerio del Interior, Obras Públicas y Vivienda","Acciones del Programa ""Hábitat Nación""",,0,999000000,si
"Ministerio del Interior, Obras Públicas y Vivienda","Ministerio del Interior, Obras Públicas y Vivienda",Recursos Hídricos,,0,1033057577,si
Poder Legislativo Nacional,Poder Legislativo Nacional,Apoyo al Congreso Nacional en Materia Fiscal,Apoyo al Congreso Nacional en Materia Fiscal,0,60000000,si
Poder Legislativo Nacional,Poder Legislativo Nacional,Asistencia Bibliográfica,Asistencia Bibliográfica,1959432939,-166235000,si
Poder Legislativo Nacional,Poder Legislativo Nacional,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes","Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",0,6235000,si
Poder Legislativo Nacional,Poder Legislativo Nacional,"Defensa de los Derechos de las Niñas, Niños y Adolescentes","Defensa de los Derechos de las Niñas, Niños y Adolescentes",0,50000000,si
Poder Legislativo Nacional,Poder Legislativo Nacional,"Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes","Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",0,50000000,si
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,Formulación e Implementación de Políticas Públicas de la Mujer,,0,50000000,si
Jefatura de Gabinete de Ministros,Agencia de Administración de Bienes del Estado,Administración de Bienes del Estado,Dirección y Administración de Bienes,438126151,0,no
Jefatura de Gabinete de Ministros,Agencia de Administración de Bienes del Estado,Administración de Bienes del Estado,Gestión Comercial de Inmuebles,46051601,0,no
Jefatura de Gabinete de Ministros,Agencia de Administración de Bienes del Estado,Administración de Bienes del Estado,Sistema de Gestión de Inmuebles del Estado Nacional,11250000,0,no
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,Acciones de la Unidad Plan Belgrano,Acciones de la Unidad Plan Belgrano,88773729,0,no
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,"Actividad Común a los Programas 70, 71 y 72",Apoyo Administrativo y Seguimiento Técnico,124027334,0,no
